date,pm25,bc,Na,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,Se,Br,Ba,Pb
1/1/1999,,0.548004214,,,,,,,,,,,,,,,,,,,
1/2/1999,6.898279993,0.3033995,0.11512515,0.027278117,0.030593934,0.4738965,0.002210544,0.034263438,0.019010681,0.000574742,0.007427429,0,0,0.027278117,0.007294796,0.005216885,0.017374879,0,0,0.004597932,0.006101102
1/3/1999,,0.68262195,,,,,,,,,,,,,,,,,,,
1/4/1999,8.651860053,0.560224444,0.149389486,0.038190427,0.046199457,0.7668857,0.005479863,0.028663897,0.024069243,0.002487015,0.004552501,0.000463681,0,0.03717876,0.005732779,0.006575835,0.010453892,0,0,0.003540834,0.004763265
1/5/1999,11.8287605,0.664305142,0.178779679,0.052184103,0.060874175,0.830797115,0.003973852,0.039913196,0.024541812,0.003580834,0.011048182,0.000393018,4.36687E-05,0.051136054,0.009170428,0.005109239,0.01991293,0,0,0,0.006855987
1/6/1999,,1.349058137,,,,,,,,,,,,,,,,,,,
1/7/1999,9.841276756,0.697954011,0.262893297,0.054129211,0.050439645,0.720913293,0.006164845,0.031104448,0.026947847,0.002755499,0.006164845,0.001074178,0,0.039044021,0.00761265,0.00789287,0.009807709,0,0.001728025,0.00042033,0.001494508
1/8/1999,12.29028756,1.121730074,0.237330441,0.031748437,0.035053754,0.98668054,0.007393472,0.037184813,0.028747557,0.001957095,0.009568022,0.000739347,0,0.041577405,0.006741107,0.001087275,0.019483972,0,0,0,0.003740227
1/9/1999,6.327028429,0.745602696,0.156784405,0.030037717,0.030260549,0.636184589,0.021035315,0.026561542,0.015999318,0.001693521,0.004590334,0.000668495,0.000133699,0.019742891,0.002941379,0.001515256,0.008556738,0,0.000668495,0,0.002718547
1/10/1999,11.07546689,0.373035661,0.139778325,0.033869173,0.044301868,0.763317222,0.005587177,0.047812395,0.021162053,0.003312751,0.009493257,0.000444996,0,0.050334041,0.008801041,0.008949373,0.015080435,0,0.000197776,0.016415424,0.007713272
1/11/1999,14.16418502,0.705354412,0.215464047,0.037341817,0.067109587,1.225938905,0.004491587,0.045356217,0.031309,0.001541231,0.008807032,8.80703E-05,0,0.052886229,0.006693345,0.002686145,0.018670909,0,0.001981582,0,0.001893512
1/12/1999,11.09729167,1.495561446,0.26235562,0.029174852,0.050630797,0.948378934,0.004622622,0.049671385,0.053072937,0.002529359,0.017225809,0.000610535,0,0.047883389,0.016091959,0.005233157,0.028346269,0,0.001744386,0,0.011207679
1/13/1999,,1.381017256,,,,,,,,,,,,,,,,,,,
1/14/1999,11.35688866,0.825681277,0.36900198,0.032916789,0.05047241,1.075663431,0.007108118,0.047371553,0.065881284,0.00338709,0.031437919,0,0,0.055529193,0.029338878,0.003816439,0.042696415,0,0.000238527,0,0.011019969
1/15/1999,,2.77798352,,,,,,,,,,,,,,,,,,,
1/16/1999,14.1576994,0.681089489,0.34296453,0.034439765,0.033051426,1.216319361,0.001119628,0.043889428,0.018272333,0.002239257,0.00698648,0.000134355,0,0.04120232,0.006538629,0.001343554,0.014868663,0,0.000313496,0.022661276,0.008509175
1/17/1999,,1.957116901,,,,,,,,,,,,,,,,,,,
1/18/1999,,3.291522998,,,,,,,,,,,,,,,,,,,
1/19/1999,8.58651905,0.864221991,0.108392937,0.04530314,0.042529479,0.951321922,0.001805081,0.020120054,0.019459658,0.002421451,0.003169899,0.000792475,0,0.04834096,0.003742242,0.002157292,0.011358805,0,0,0,0.003830295
1/20/1999,17.11560856,1.10186243,0.103648928,0.035648815,0.06300928,1.657268826,0.002361734,0.040238599,0.035827059,0.003698565,0.014482331,0.000623854,0.00089122,0.084354007,0.012209719,0.001515075,0.023661901,0,0,0.007976422,0.010026229
1/21/1999,,2.681657244,,,,,,,,,,,,,,,,,,,
1/22/1999,4.633547313,1.760955349,0.101059203,0.019167715,0.024045384,0.579680467,0.002095873,0.015242715,0.013870871,0.002362621,0.001524272,7.62136E-05,0,0.023092714,0.00213398,0.00320097,0.006249513,0,0,0,0.003353397
1/23/1999,11.80405652,1.04808587,0.331840213,0.014737951,0.019378472,1.120642832,0.006187361,0.042924818,0.026081446,0.002664003,0.009495881,0,0,0.034245326,0.010183365,0,0.014351241,0,0,0.00562878,0.010784914
