"Date","aluminum","ammonium ion","antimony","arsenic","barium","bromine","cadmium","calcium","chlorine","chromium","cobalt","copper","elemental carbon","iron","lead","magnesium","manganese","nickel","organic carbon","potassium ion","selenium","silicon","sodium","sulfur","titanium","total nitrate","vanadium","zinc"
"2003-01-03",0,1.46,0,0,0.003,0.003,0.002,0.0681,0.0184,0.0053,0.00402,0.0051,NA,0.106,0.0071,0,0.0024,0.038,NA,0,0,0.0974,0,0.981,0.001,2.03,0.0087,0.0374
"2003-01-06",0.033,3.68,0.006,0,0,0.0046,0.007,0.0389,0.253,0.002,0,0.003,NA,0.113,0.004,0.017,0.001,0.0222,NA,0.092,0.001,0.0622,0.036,1.6,0.003,5.92,0.006,0.022
"2003-01-09",0.031,1.58,0.007,0,0,0.0039,0.009,0.0506,0.035,0.002,0,0.003,NA,0.146,0.002,0,0.0032,0.0085,NA,0,0.0037,0.0707,0.069,0.927,0.0072,2.74,0.0068,0.022
"2003-01-12",0.019,1.84,0,0.0049,0.025,0.002,0,0.0295,0.078,0.0026,0.001,0.001,NA,0.0649,0,0.007,0,0.0077,NA,0,0.001,0.048,0.258,0.757,0.001,2.89,0.0043,0.0117
"2003-01-15",0.02,2.21,0,0.001,0.042,0.0057,0.002,0.0392,0.538,0.0023,0,0,NA,0.132,0.006,0.033,0.0037,0.0123,NA,0.142,0.0029,0.057,0,0.817,0.0036,3.68,0.0037,0.0189
"2003-01-18",0.023,1.89,0.001,0.0037,0.004,0.0044,0,0.0354,0.034,0.001,0,0.002,NA,0.0826,0.001,0.035,0.001,0.0147,NA,0,0.004,0.0553,0.267,0.721,0.002,3.81,0.0034,0.014
"2003-01-21",0.019,1.56,0,0,0.011,0.0049,0.004,0.0365,0.063,0.004,0,0.001,NA,0.136,0.0148,0,0.001,0.012,NA,0,0.001,0.0658,0.069,0.714,0.0057,1.71,0.0038,0.018
"2003-01-24",0,0.658,0.011,0.001,0,0.003,0.005,0.0318,0.117,0.001,0.00197,0.0028,NA,0.106,0.0045,0,0.0025,0.019,NA,0,0,0.0796,0,0.388,0.0031,1.21,0.0045,0.0084
"2003-01-27",0.024,1.07,0.002,0,0.012,0.0043,0,0.0252,0.052,0.002,0.001,0.002,NA,0.103,0.002,0.013,0,0.0176,NA,0.075,0,0.0458,0.217,0.589,0.0058,1.69,0.0036,0.005
"2003-01-30",0.013,5.84,0.004,0.0044,0.052,0.0051,0,0.053,0.233,0,0.0022,0,NA,0.167,0.006,0,0.0046,0.0591,NA,0,0.002,0.057,0.549,2.25,0.0056,9.56,0.0176,0.0389
"2003-02-02",0.008,2.1,0.007,0,0.041,0.0026,0,0.0081,0.01,0.003,0,0.0021,NA,0.0726,0.002,0,0.002,0.0037,NA,0,0,0.025,0.04,1.25,0.001,2.45,0.0023,0.0039
"2003-02-05",0.029,1.17,0.001,0,0,0.001,0.002,0.0316,0.045,0.002,0,0.003,NA,0.126,0,0,0.002,0.0071,NA,0,0,0.0482,0,0.727,0.0065,1.48,0.001,0.007
"2003-02-08",0,3.04,0.021,0.0021,0.022,0.0047,0,0.0357,0,0,0.001,0.0116,NA,0.0673,0.0045,0,0.001,0.0064,NA,0,0.001,0.064,0.064,1.16,0.002,5.94,0.0032,0.0129
"2003-02-11",0,2.13,0.012,0,0.014,0.0043,0,0.0402,0,0,0,0.0096,NA,0.113,0.01,0,0.0025,0.0102,NA,0,0.001,0.079,0,0.96,0.009,3.31,0.0038,0.0115
"2003-02-14",0.007,1.83,0,0,0,0.0058,0,0.0269,0.443,0.0034,0,0.0049,NA,0.107,0.0113,0,0,0.01,NA,0,0,0.042,0,0.763,0.0042,3.49,0.0043,0.0114
"2003-02-17",0.007,1.17,0.002,0.001,0,0.0042,0,0.042,0.073,0,0.0039,0.002,NA,0.0524,0.002,0,0.001,0.0562,NA,0,0,0.044,0.15,0.96,0.0034,1.04,0.0086,0.0264
"2003-02-21",0.033,6.93,0.017,0,0,0.0092,0,0.0567,0.278,0.003,0,0.005,NA,0.195,0.0169,0.001,0.0069,0.013,NA,0,0.0046,0.0695,0.152,2.62,0.0063,12.2,0.0203,0.039
"2003-02-23",0,2.11,0,0,0,0.002,0,0.0498,0.005,0.001,0.00334,0.0018,NA,0.0826,0.0058,0,0.0027,0.041,NA,0,0.002,0.0643,0,1.35,0.0042,2.08,0.0079,0.0281
"2003-02-26",0,2.72,0.019,0.00146,0.0079,0.004,0,0.0708,0.0396,0.0015,0.00617,0.0019,NA,0.146,0.0082,0,0.004,0.077,NA,0,0,0.0952,0,1.58,0.0021,3.06,0.0196,0.0548
"2003-03-07",0,2.42,0.003,0,0.01,0.005,0.013,0.0602,0.221,0.003,0.0023,0.0098,NA,0.106,0.0073,0,0.0041,0.027,NA,0,0.001,0.064,0,1.19,0.004,3.38,0.011,0.0327
"2003-03-10",0,1.93,0.042,0,0.013,0.0049,0,0.064,0.678,0.002,0,0.0103,NA,0.117,0.0074,0,0,0.017,NA,0,0.0029,0.099,0,0.863,0.006,2.12,0.003,0.025
"2003-03-13",0.003,4.59,0,0.001,0.028,0.0091,0,0.0564,0.049,0,0.002,0.0044,NA,0.162,0.0071,0.038,0.0048,0.0254,NA,0,0.007,0.053,0.23,1.94,0.0053,7.42,0.0112,0.0321
"2003-03-16",0,1.75,0,0,0.019,0.0039,0,0.0449,0,0,0,0.0114,NA,0.167,0.0102,0,0.0029,0.0091,NA,0,0.005,0.087,0,1.02,0.004,3.32,0.0133,0.028
"2003-03-19",0.004,1.68,0,0.002,0,0.0033,0.002,0.0444,0.048,0.001,0,0,NA,0.0928,0.003,0.019,0.0033,0.0127,NA,0,0.001,0.0385,0.319,1.45,0.0044,1.77,0.003,0.012
"2003-03-22",0,2.93,0.015,0.0036,0.027,0.0042,0.014,0.043,0,0.004,0,0.0102,NA,0.121,0.0092,0,0.001,0.0022,NA,0,0.001,0.112,0,1.6,0,4.2,0.003,0.0132
"2003-03-28",0,1.65,0.087,0.0021,0.016,0.0032,0.007,0.058,0,0.001,0.001,0.0084,NA,0.175,0.002,0,0.001,0.013,NA,0,0.001,0.093,0,1.11,0.007,2.64,0.017,0.0303
"2003-03-31",0,0.845,0,0,0.02,0,0,0.0369,0,0,0,0.0097,NA,0.122,0.0035,0,0.0029,0.008,NA,0,0,0.08,0,0.617,0.002,0.776,0,0.01
"2003-04-03",0.026,4.44,0,0.0032,0,0.0046,0,0.034,0.005,0.001,0,0.002,NA,0.115,0.004,0.004,0.0042,0.0239,NA,0,0.002,0.0368,0.162,2.7,0.0056,4.86,0.0058,0.025
"2003-04-06",0.019,NA,0.006,0,0.005,0,0.002,0.0218,0,0,0,0,NA,0.0623,0.002,0,0,0.0065,NA,NA,0,0.0375,0.044,0.636,0.002,NA,0.002,0.003
"2003-04-09",0.032,2.06,0.002,0,0.043,0.0035,0,0.0349,0.013,0.001,0.0023,0.002,NA,0.0917,0.0106,0,0.001,0.0483,NA,0,0.001,0.033,0.144,1.29,0.003,2.74,0.0089,0.0292
"2003-04-12",0,0.501,0.014,0,0.0061,0.001,0,0.0305,0.002,0.0031,0.00159,0.004,NA,0.118,0.0045,0,0.004,0.007,NA,0,0.001,0.0827,0,0.416,0.001,0.952,0.0026,0.0116
"2003-04-21",0.01,1.13,0.009,0,0.049,0.002,0.003,0.0501,0.069,0,0.001,0.0032,NA,0.13,0.002,0,0.002,0.0147,NA,0,0,0.038,0.132,0.912,0.0055,2.44,0.0058,0.0141
"2003-04-24",0.074,0.436,0,0,0.002,0,0,0.0887,0.02,0.002,0,0.003,NA,0.206,0,0.029,0.0035,0.0037,NA,0,0,0.15,0.075,0.463,0.0099,0.464,0,0.004
"2003-04-27",0.021,0.782,0,0.002,0.033,0,0,0.0423,0,0.001,0,0.004,NA,0.169,0.004,0.01,0.0031,0.0041,NA,0,0,0.104,0.039,0.697,0.0058,0.904,0.0042,0.008
"2003-04-30",0.031,0.436,0.002,0,0.012,0.001,0.002,0.0523,0,0,0,0.002,NA,0.152,0,0,0.001,0.0111,NA,0,0.001,0.108,0,0.407,0.002,0.49,0.001,0.009
"2003-05-06",0,3.89,0,0,0.0126,0.0046,0,0.0735,0.188,0.0036,0,0.0027,NA,0.21,0.008,0,0.0074,0.0281,NA,0.074,0.001,0.124,0,1.55,0.003,7.3,0.012,0.0363
"2003-05-09",0,4.06,0,0.00112,0,0.003,0,0.0409,0.0248,0.0043,0,0.0086,NA,0.131,0.0101,0,0.0064,0.009,NA,0.07,0.0036,0.0772,0,2.03,0.001,8.45,0.0153,0.0436
"2003-05-12",0,2.17,0.066,0,0.021,0,0,0.0384,0,0,0.001,0.0111,NA,0.0864,0.0053,0,0.0026,0.0047,NA,0,0,0.081,0,1.37,0.004,4.23,0.001,0.0186
"2003-05-15",0.001,1.78,0.003,0,0.001,0.001,0,0.0307,0.013,0,0.0019,0.0039,NA,0.109,0.005,0.002,0.002,0.0189,NA,0,0,0.042,0.061,1.13,0.002,3.89,0.0037,0.0225
"2003-05-18",0.022,1.11,0,0.002,0,0.0035,0,0.0307,0.006,0,0,0.001,NA,0.0763,0.001,0.005,0,0.0359,NA,0,0,0.0513,0.12,1.14,0.0044,2.24,0.0063,0.016
"2003-05-21",0.021,1.69,0,0,0.026,0.0087,0,0.043,0.036,0.001,0,0.01,NA,0.171,0.0127,0.009,0.0069,0.0157,NA,0,0.002,0.0946,0.022,1.4,0.002,3.09,0.0131,0.042
"2003-05-24",0,1.78,0,0,0,0.001,0.002,0.0064,0,0,0.00139,0.0024,NA,0.0571,0.0029,0,0.002,0.022,NA,0,0.0011,0.0474,0,1.77,0,2.14,0.0045,0.0102
"2003-05-27",0,1.45,0,0.00188,0.0064,0.001,0,0.0239,0.0146,0,0.001,0.0021,NA,0.0971,0.0037,0,0.0035,0.014,NA,0,0,0.0508,0,0.647,0.001,3.62,0.0047,0.0251
"2003-05-30",0,3.01,0,0.00156,0.0095,0.005,0.0124,0.0663,0.004,0.0083,0.00179,0.0072,NA,0.193,0.0069,0,0.0054,0.009,NA,0,0.0044,0.123,0,2.56,0.0034,3.05,0.0117,0.0277
"2003-06-02",0.013,0.482,0,0.001,0,0.001,0,0.0503,0.033,0.001,0,0.003,NA,0.127,0,0.011,0.002,0.0024,NA,0,0,0.0651,0.02,0.525,0.0115,0.298,0.002,0.012
"2003-06-05",0,3.63,0.001,0,0.013,0.002,0,0.034,0.002,0.001,0.001,0.0043,NA,0.122,0.01,0,0.0051,0.0117,NA,0,0,0.026,0.134,2.7,0.0051,3.94,0.0061,0.0338
"2003-06-08",0,4.33,0,0,0.015,0.0054,0,0.0263,0,0.001,0.001,0.0075,NA,0.0685,0.0049,0.009,0,0.0196,NA,0,0.001,0.106,0.092,3.41,0.001,3.82,0.0108,0.0163
"2003-06-11",0,4.8,0,0.0031,0.024,0.0045,0,0.0786,0,0,0,0.0122,NA,0.24,0.0099,0.043,0,0.0166,NA,0,0.002,0.148,0.252,3.17,0.005,5.77,0.022,0.0355
"2003-06-14",0.02,5.28,0,0.002,0,0.0039,0,0.0413,0.01,0,0,0.0049,NA,0.12,0.0068,0,0.0027,0.0163,NA,0,0.0033,0.004,0,4,0.0041,5.19,0.0232,0.0309
"2003-06-17",0,1.16,0.008,0,0,0.001,0.001,0.034,0.005,0.001,0.002,0.001,NA,0.0876,0,0.015,0.0042,0.0215,NA,0,0.001,0.021,0.223,1.05,0.0033,1.68,0.0099,0.0172
"2003-06-20",0.019,3.24,0,0.001,0.037,0.002,0,0.0241,0.017,0.001,0,0.002,NA,0.109,0.006,0.022,0.0026,0.0146,NA,0,0,0.004,0,2.61,0.0039,2.55,0.004,0.0177
"2003-06-23",0,1.13,0,0.0036,0.011,0.006,0,0.0489,0.0124,0.001,0,0.0075,NA,0.169,0.0085,0,0.0044,0.0104,NA,0,0.002,0.073,0,0.957,0.002,1.5,0.0178,0.0443
"2003-06-26",0.016,8.65,0.007,0.0023,0.019,0.0098,0.002,0.0899,0.0908,0.003,0.001,0.009,NA,0.181,0.0103,0.07,0.0054,0.0066,NA,0,0.0049,0.24,0.197,9.44,0.005,1.46,0.0069,0.0247
"2003-07-08",0.111,4.97,0,0.0042,0.04,0.003,0,0.141,0.009,0.0028,0,0.004,NA,0.242,0.005,0,0.0047,0.0091,NA,0,0.0071,0.236,0,5.23,0.0164,2.09,0.0097,0.0165
"2003-07-11",0.027,2.87,0.002,0.0052,0,0.0024,0,0.046,0,0.0031,0.001,0.0036,NA,0.158,0.0079,0,0.0057,0.0125,NA,0,0,0.029,0.021,2.2,0.0059,2.96,0.0085,0.0452
"2003-07-14",0.015,2.47,0,0,0.021,0.002,0,0.0615,0.0131,0.0028,0,0.002,NA,0.111,0,0,0.003,0.0176,NA,0,0.003,0.033,0.026,2.4,0.0048,2.05,0.0058,0.0144
"2003-07-17",0.03,1.25,0,0.001,0,0.001,0,0.0747,0,0.001,0,0.003,NA,0.159,0.001,0.013,0.0033,0.001,NA,0,0.002,0.072,0,1.33,0.0056,0.433,0,0.0173
"2003-07-20",0.005,1.75,0,0,0.008,0.008,0,0.0352,0.0113,0,0,0.002,NA,0.09,0.005,0,0.002,0.011,NA,0,0.002,0.021,0.01,2.13,0.0042,0.608,0.0169,0.0179
"2003-07-23",0.02,2.64,0,0,0,0.004,0,0.033,0.0148,0.001,0,0.003,NA,0.105,0.008,0.018,0.002,0.0057,NA,0,0,0.035,0.077,2.47,0.0061,2.25,0.0076,0.0201
