"","date_local","aluminum_pm2_5_lc_88104","arsenic_pm2_5_lc_88103","barium_pm2_5_lc_88107","bromine_pm2_5_lc_88109","cadmium_pm2_5_lc_88110","calcium_pm2_5_lc_88111","chromium_pm2_5_lc_88112","copper_pm2_5_lc_88114","iron_pm2_5_lc_88126","lead_pm2_5_lc_88128","magnesium_pm2_5_lc_88140","manganese_pm2_5_lc_88132","nickel_pm2_5_lc_88136","selenium_pm2_5_lc_88154","silicon_pm2_5_lc_88165","sulfate_pm2_5_lc_88403","sulfur_pm2_5_lc_88169","titanium_pm2_5_lc_88161","total_nitrate_pm2_5_lc_88306","vanadium_pm2_5_lc_88164","zinc_pm2_5_lc_88167"
"1",2001-04-07,0,0,0.012,0.00488,0,0.0401,0,0.00389,0.0793,0.0096,0,0.0029,0.015,0,0.0972,5.41,1.9,0.0036,3.85,0.00774,0.0386
"2",2001-04-13,0.0094,0.0016,0.024,0.00211,0.004,0.036,0,0.00375,0.116,0.0073,0.003,0.0023,0.0267,0.001,0.0837,3.25,1.33,0.0039,1.59,0.0126,0.0359
"3",2001-04-19,0.0104,0.001,0.006,0.00422,0,0.0543,0,0.00357,0.0995,0.0059,0.0087,0.001,0.0176,0.001,0.104,2.65,0.957,0.0055,1.68,0.00553,0.025
"4",2001-04-25,0.0172,0.0024,0.015,0.00117,0,0.0398,0.001,0.00197,0.0801,0.001,0,0.001,0.00741,0,0.0935,1.97,0.708,0.0063,0.601,0.00347,0.0139
"5",2001-05-01,0.0384,0.0017,0.041,0.00873,0.001,0.136,0,0.00953,0.348,0.0133,0,0.0059,0.0217,0.002,0.374,7.04,2.42,0.018,3.69,0.0136,0.0458
"6",2001-05-04,0.0964,0.0025,0.039,0.0111,0,0.137,0.00089,0.00652,0.302,0.013,0,0.0053,0.029,0.004,0.335,15,4.66,0.0181,1.38,0.0147,0.0429
"7",2001-05-07,0.004,0.001,0.016,0.00263,0,0.055,0,0.0022,0.0719,0.0033,0.0085,0.0014,0.00708,0.001,0.0999,1.16,0.433,0.0053,0.731,0.00197,0.0236
"8",2001-05-10,0.0547,0.001,0.055,0.00521,0,0.121,0.001,0.00863,0.346,0.0086,0.004,0.0046,0.0139,0,0.349,4.97,1.73,0.0143,1.56,0.00793,0.0389
"9",2001-05-13,0.0215,0,0.021,0.00122,0,0.0249,0.00094,0,0.0397,0.002,0.0212,0.001,0.00324,0,0.078,0.808,0.25,0.0036,0.138,0.0023,0.00333
"10",2001-05-16,0.0147,0,0.036,0.00103,0.002,0.0313,0.001,0.00188,0.0565,0.002,0.005,0.001,0.00225,0,0.068,1.86,0.71,0.0045,0.604,0.00202,0.00643
"11",2001-05-19,0.004,0.002,0.025,0.00605,0,0.0431,0,0.00558,0.153,0.0065,0,0.0039,0.0163,0.002,0.104,8.65,3.08,0.0072,5.91,0.0138,0.0277
"12",2001-05-22,0,0,0.008,0.001,0,0.0171,0.001,0.00136,0.0361,0.001,0.004,0.001,0.00202,0.001,0.0776,0.979,0.371,0.0024,0.55,0.00117,0.00891
"13",2001-05-25,0.003,0,0.019,0.00383,0.001,0.0232,0,0.00175,0.042,0.0037,0.006,0.0016,0.00592,0,0.0745,3.32,1.11,0.0034,0.687,0.0065,0.0106
"14",2001-05-28,0,0,0.019,0.00314,0,0.0229,0.001,0.00244,0.0513,0.0041,0,0.001,0.00605,0.001,0.0423,5.08,1.79,0.0036,1.36,0.00549,0.0155
"15",2001-05-31,0.0169,0.0013,0.018,0.00183,0,0.0392,0.001,0.00169,0.0796,0.001,0.0131,0.0013,0.00526,0,0.0962,0.812,0.293,0.0067,0.198,0.00141,0.00765
"16",2001-06-06,0,0,0.025,0.00188,0,0.0403,0.001,0.00249,0.0978,0.003,0.006,0.001,0.00596,0,0.112,3,1.06,0.0056,0.291,0.00141,0.0125
"17",2001-06-09,0.0133,0.001,0.022,0.003,0.001,0.0469,0,0.00239,0.0856,0.002,0,0.001,0.00577,0,0.111,0.944,0.357,0.005,0.331,0.00267,0.0167
"18",2001-06-12,0,0.0013,0.059,0.00399,0.001,0.0333,0.00141,0.00192,0.0967,0.004,0,0.0021,0.0137,0.002,0.0855,8.81,2.89,0,2.01,0.00685,0.0173
"19",2001-06-15,0.0316,0.0015,0.035,0.00188,0,0.0535,0,0.00239,0.127,0.001,0,0.0019,0.00586,0,0.27,5.73,2.05,0.0115,1.02,0.00432,0.0116
"20",2001-06-18,0,0,0.034,0.00277,0,0.0359,0,0.00305,0.115,0.0037,0,0.0019,0.00624,0.001,0.0722,2.88,1.09,0.0066,0.49,0.00221,0.0165
"21",2001-06-21,0,0.001,0.024,0.00418,0,0.0294,0,0.00258,0.0835,0.0039,0,0.0016,0.00582,0.002,0.0961,9.25,3.25,0.006,2.07,0.0076,0.011
"22",2001-06-24,0,0,0.037,0,0.002,0.0146,0,0.00235,0.0546,0.002,0,0,0.00596,0,0.035,2.32,0.819,0.0029,0.899,0.00244,0.00981
"23",2001-06-27,0,0,0.033,0.00404,0,0.0432,0.00084,0.00422,0.139,0.0067,0,0.0014,0.0184,0.001,0.172,11.2,3.8,0.0082,0.649,0.00559,0.0199
"24",2001-06-30,0,0.0026,0.004,0.00934,0,0.0483,0.001,0.00394,0.127,0.0076,0,0.0042,0.0114,0.005,0.133,25.8,7.36,0.009,2.64,0.00816,0.0326
"25",2001-07-04,0.001,0.0021,0.044,0.00375,0,0.0212,0,0.00685,0.058,0.0055,0.004,0.001,0.00502,0.002,0.0561,5.19,1.86,0.01,1.98,0.00727,0.0169
"26",2001-07-06,0.0054,0.001,0.034,0.001,0.002,0.0274,0,0.00286,0.0723,0.001,0,0.001,0.00314,0,0.0556,1.41,0.534,0.0053,0.24,0.00136,0.0108
"27",2001-07-09,0,0.001,0.029,0.00455,0.003,0.0315,0.001,0.00352,0.0967,0.006,0.006,0.0015,0.00647,0.002,0.0548,11.3,3.61,0.0055,2.69,0.00967,0.0169
"28",2001-07-12,0,0.0019,0.017,0.001,0,0.0276,0,0.00263,0.0766,0.001,0,0.0013,0.00591,0.001,0.0551,1.99,0.727,0.0049,0.234,0.00122,0.00906
"29",2001-07-18,0,0.0013,0.013,0.00375,0.002,0.026,0,0.00258,0.066,0.0056,0,0.001,0.00577,0.001,0.0535,8.46,3.12,0.0042,2.8,0.00497,0.0219
"30",2001-07-21,0,0.0021,0.013,0.00544,0,0.0477,0,0.00596,0.172,0.0067,0.0131,0.0029,0.00835,0.001,0.0708,3.79,1.2,0.0091,2.8,0.00995,0.0203
"31",2001-07-24,0,0.0013,0.015,0.00235,0,0.0536,0,0.00258,0.0906,0.0032,0.0094,0.0019,0.00699,0.001,0.107,5.2,1.94,0.0068,0.695,0.00647,0.0137
"32",2001-07-27,0.0069,0,0.002,0.00174,0,0.0261,0,0.00277,0.058,0.001,0,0.0013,0.0022,0,0.0523,0.693,0.283,0.0043,0.38,0.00159,0.00877
"33",2001-07-30,0.004,0.0011,0.006,0.00272,0,0.0223,0,0.00272,0.0631,0.0027,0,0.0016,0.0045,0.001,0.0494,1.84,0.734,0.0034,0.423,0.00352,0.0105
"34",2001-08-02,0.0054,0,0.012,0.00634,0,0.0628,0.00084,0.00385,0.185,0.007,0,0.0068,0.0243,0.002,0.148,6.22,2.29,0.0098,0.687,0.0107,0.024
"35",2001-08-05,0.0225,0.0019,0.022,0.00521,0,0.0308,0,0.00347,0.0992,0.0047,0.0246,0.0013,0.0114,0.001,0.133,7.89,2.98,0.0055,3.98,0.0145,0.0244
"36",2001-08-08,0,0,0.028,0.00263,0,0.0226,0,0,0.048,0.0068,0,0.0021,0.00953,0.001,0.0459,8.04,1.93,0.0062,0.546,0.00239,0.0134
