site_num,date_local,pm_tot,site
110,2007-01-01,9.4,bronx
110,2007-01-02,3.7,bronx
110,2007-01-03,13.2,bronx
110,2007-01-04,17.4,bronx
110,2007-01-05,14.2,bronx
110,2007-01-06,6.7,bronx
110,2007-01-07,5,bronx
110,2007-01-08,6.5,bronx
110,2007-01-09,8.9,bronx
110,2007-01-10,4.2,bronx
110,2007-01-11,10.6,bronx
110,2007-01-12,16.4,bronx
110,2007-01-13,19.2,bronx
110,2007-01-14,12.2,bronx
110,2007-01-15,22.6,bronx
110,2007-01-16,6.4,bronx
110,2007-01-17,4.7,bronx
110,2007-01-18,21.7,bronx
110,2007-01-19,16.9,bronx
110,2007-01-20,5.2,bronx
110,2007-01-21,8.2,bronx
110,2007-01-22,22,bronx
110,2007-01-23,12.9,bronx
110,2007-01-24,13.7,bronx
110,2007-01-25,10.5,bronx
110,2007-01-26,5.8,bronx
110,2007-01-27,19.4,bronx
110,2007-01-28,17.1,bronx
110,2007-01-29,9.2,bronx
110,2007-01-30,18.1,bronx
110,2007-01-31,14.4,bronx
110,2007-02-01,23.6,bronx
110,2007-02-02,33.9,bronx
110,2007-02-03,13.1,bronx
110,2007-02-04,8,bronx
110,2007-02-05,7.9,bronx
110,2007-02-06,11.5,bronx
110,2007-02-07,10.7,bronx
110,2007-02-08,11.6,bronx
110,2007-02-09,10.1,bronx
110,2007-02-10,10.6,bronx
110,2007-02-11,15,bronx
110,2007-02-12,17.4,bronx
110,2007-02-13,11.2,bronx
110,2007-02-14,9.5,bronx
110,2007-02-15,6,bronx
110,2007-02-16,10.2,bronx
110,2007-02-17,15.3,bronx
110,2007-02-18,13.2,bronx
110,2007-02-19,7.8,bronx
110,2007-02-20,25.6,bronx
110,2007-02-21,19,bronx
110,2007-02-22,24.9,bronx
110,2007-02-23,5.5,bronx
110,2007-02-24,4.8,bronx
110,2007-02-25,12.1,bronx
110,2007-02-26,15.9,bronx
110,2007-02-27,32.1,bronx
110,2007-02-28,11.1,bronx
110,2007-03-01,14.7,bronx
110,2007-03-02,9.2,bronx
110,2007-03-03,14,bronx
110,2007-03-04,5.5,bronx
110,2007-03-05,8.5,bronx
110,2007-03-06,4.8,bronx
110,2007-03-07,15,bronx
110,2007-03-08,10.3,bronx
110,2007-03-09,16.1,bronx
110,2007-03-10,23.6,bronx
110,2007-03-11,13,bronx
110,2007-03-12,15,bronx
110,2007-03-13,27.6,bronx
110,2007-03-14,40.8,bronx
110,2007-03-15,26,bronx
110,2007-03-16,7.6,bronx
110,2007-03-17,6.3,bronx
110,2007-03-18,4.2,bronx
110,2007-03-19,10.5,bronx
110,2007-03-20,10.3,bronx
110,2007-03-22,19.5,bronx
110,2007-03-23,14.2,bronx
110,2007-03-24,8.3,bronx
110,2007-03-25,8.8,bronx
110,2007-03-26,9.5,bronx
110,2007-03-27,12.2,bronx
110,2007-03-28,4.2,bronx
110,2007-03-29,4.1,bronx
110,2007-03-30,4.9,bronx
110,2007-03-31,5.4,bronx
110,2007-04-01,10.7,bronx
110,2007-04-02,20.6,bronx
110,2007-04-03,20.5,bronx
110,2007-04-04,6,bronx
110,2007-04-05,4.4,bronx
110,2007-04-06,6,bronx
110,2007-04-07,6.2,bronx
110,2007-04-08,4.7,bronx
110,2007-04-09,6.2,bronx
110,2007-04-10,7.9,bronx
110,2007-04-11,10.2,bronx
110,2007-04-12,10.8,bronx
110,2007-04-13,6.8,bronx
110,2007-04-14,7,bronx
110,2007-04-15,8.6,bronx
110,2007-04-16,5.2,bronx
110,2007-04-19,5.6,bronx
110,2007-04-20,8.4,bronx
110,2007-04-21,12.2,bronx
110,2007-04-22,12.8,bronx
110,2007-04-23,22.2,bronx
110,2007-04-24,9.5,bronx
110,2007-04-25,6.7,bronx
110,2007-04-26,6.2,bronx
110,2007-04-27,13.2,bronx
110,2007-04-28,13.2,bronx
110,2007-04-29,6.3,bronx
110,2007-04-30,7.5,bronx
110,2007-05-01,5.4,bronx
110,2007-05-02,6.9,bronx
110,2007-05-03,4.7,bronx
110,2007-05-04,5.4,bronx
110,2007-05-08,6.4,bronx
110,2007-05-09,8,bronx
110,2007-05-10,10.3,bronx
110,2007-05-11,16.1,bronx
110,2007-05-12,10.1,bronx
110,2007-05-13,3.9,bronx
110,2007-05-14,6.3,bronx
110,2007-05-15,17.3,bronx
110,2007-05-16,21.5,bronx
110,2007-05-17,6.5,bronx
110,2007-05-18,4.6,bronx
110,2007-05-19,7.6,bronx
110,2007-05-20,9.5,bronx
110,2007-05-21,6.4,bronx
110,2007-05-22,8.8,bronx
110,2007-05-23,8.1,bronx
110,2007-05-24,14.2,bronx
110,2007-05-25,22.6,bronx
110,2007-05-26,23.3,bronx
110,2007-05-27,16.9,bronx
110,2007-05-28,18.7,bronx
