"Date","aluminum","ammonium ion","antimony","arsenic","barium","bromine","cadmium","calcium","chlorine","chromium","cobalt","copper","elemental carbon","iron","lead","magnesium","manganese","nickel","organic carbon","potassium ion","selenium","silicon","sodium","sulfur","titanium","total nitrate","vanadium","zinc"
"2002-01-03",0.0066,1.94,0.0079,0.001,0.029,0.00352,0,0.0653,0.0147,0,0,0.00178,NA,0.119,0.0077,0,0.001,0.0404,NA,0,0.001,0.0763,0.127,1.15,0.0055,3.16,0.00854,0.0518
"2002-01-05",0,3.7,0.005,8e-04,0.012,0.00633,0.002,0.081,0.0128,0.0017,0.00255,0.009,NA,0.132,0.0134,0,0.00197,0.043,NA,0.071,0.005,0.127,0,1.34,0.006,7.79,0.011,0.054
"2002-01-09",0.0227,2.64,0.008,0.00148,0.0061,0.0086,0.001,0.0629,0.0818,7e-04,0.00262,0.00357,NA,0.125,0.00958,0,0.0051,0.0399,NA,0.063,0.0043,0.0791,0,1.45,0.00562,4.11,0.0124,0.0762
"2002-01-14",0.006,1.5,0.004,0,0.032,0.0022,0,0.047,0.0095,0.00098,0.00164,0.00319,NA,0.108,0.0061,0,0.00258,0.0332,NA,0,0.001,0.0837,0.112,0.721,0.0053,3.13,0.0061,0.0423
"2002-01-17",0.012,2.59,0,0.00172,0.0102,0.00454,0.001,0.0791,0,0.00081,0.00245,0.00382,NA,0.133,0.00604,0,0.00507,0.0287,NA,0,0.00242,0.0801,0,1.57,0.003,4.51,0.00569,0.0451
"2002-01-20",0.001,2.83,0.001,0.0023,0.022,0.00413,0,0.032,0.0368,0,0.00169,0.00173,NA,0.065,0.005,0,0.00117,0.0333,NA,0,0.00352,0.0399,0.173,1.29,0.0026,5.33,0.00638,0.0335
"2002-01-23",0.003,1.97,0.002,0,0.039,0.00488,0.001,0.052,0.003,0.001,0.00145,0.00202,NA,0.0747,0.0066,0.024,0.00272,0.0235,NA,0,0.001,0.0365,0.129,1.15,0.0033,3.56,0.00845,0.0224
"2002-01-26",0.0103,1.57,0.001,0.0022,0.036,0.00314,0,0.0502,0.0078,0.00094,0,0.00225,NA,0.111,0.0062,0,0.004,0.0183,NA,0,0.003,0.068,0.05,0.841,0.0073,3.09,0.00736,0.0326
"2002-01-29",0.002,3.47,0.005,0.0025,0.021,0.00948,0.002,0.111,0.0123,0.00122,0,0.00671,NA,0.293,0.0111,0,0.0053,0.0388,NA,0.072,0.004,0.138,0.102,2.35,0.0104,3.61,0.0139,0.0784
"2002-02-01",0,0,0.005,0,0.0029,0.00095,0.001,0.0397,0.0032,0.00069,7e-04,0.00114,NA,0.0596,0.0025,0,0.00255,0.018,NA,0,0,0.0381,0,0.876,0,0.14,0.00333,0.0379
